code,name,start_date,category,volatility,style,priority
sh.600730,中国高科,1996-07-26,教育,中,平衡,核心
sz.002607,中公教育,2011-08-10,教育,高,激进,相关
sz.300010,立思辰,2009-10-30,教育,中,平衡,相关
sz.002415,海康威视,2010-05-28,科技,中,平衡,相关
sz.300059,东方财富,2010-03-19,科技,高,激进,相关
sh.600036,招商银行,2002-04-09,金融,低,稳健,配置
sh.601318,中国平安,2007-03-01,金融,中,平衡,配置
sz.000333,美的集团,2013-09-18,消费,中,平衡,配置
sh.600276,恒瑞医药,2000-10-18,医药,中,平衡,配置
sh.600111,北方稀土,1997-09-02,周期,高,激进,补充
