股票,最终净值,收益率%,最大回撤%,夏普比率,交易次数,胜率%,风险事件
sh.600036.招商银行,108103.75694541361,8.103756945413611,15.838790869892879,0.6163017521402383,75,100.0,4
sh.601838.成都银行,100562.05100674227,0.5620510067422728,20.253021795094057,0.13334040544075082,17,0.0,28
sh.601318.中国平安,113745.68944644654,13.745689446446544,9.460397709017043,0.9582913274304867,111,76.47058823529412,0
sh.601939.建设银行,114799.44547253047,14.799445472530467,12.859402131516557,0.9935281645135361,17,0.0,0
sh.601398.工商银行,122741.59087325037,22.741590873250374,11.048401122216838,1.5383718719852877,17,0.0,0
sz.000858.五粮液,90966.7704771423,-9.033229522857699,13.011410184261912,-0.6893453911814064,110,18.181818181818183,0
