股票,最终净值,收益率%,最大回撤%,夏普比率,交易次数,胜率%,风险事件
sh.600036.招商银行,100000.0,0.0,0,0.0,0,0,0
sh.601838.成都银行,100000.0,0.0,0,0.0,0,0,0
sh.601318.中国平安,100000.0,0.0,0,0.0,0,0,0
sh.601939.建设银行,100000.0,0.0,0,0.0,0,0,0
sh.601398.工商银行,100000.0,0.0,0,0.0,0,0,0
sz.000858.五粮液,100000.0,0.0,0,0.0,0,0,0
