股票,最终净值,收益率%,最大回撤%,夏普比率,交易次数,胜率%,风险事件
sh.600036.招商银行,111639.26260515665,11.639262605156647,16.726565810433954,0.7754584807765428,7,0.0,11
sh.601838.成都银行,98772.54360213602,-1.227456397863978,19.028425071972286,0.009957095444828456,152,59.25925925925925,20
sh.601318.中国平安,119036.4454322981,19.036445432298105,10.101407024067246,1.1334306299353516,7,0.0,0
sh.601939.建设银行,110603.58995311621,10.603589953116215,12.176052494399833,0.7836385349120157,169,65.21739130434783,0
sh.601398.工商银行,122723.31284940944,22.723312849409442,10.750222546476005,1.576076350821964,52,100.0,0
sz.000858.五粮液,89155.18936405088,-10.844810635949122,17.33589477625806,-0.6178971012415811,7,0.0,18
